1,2,3
1.41,0.07377,0
0.78,0.06991,0
0.73,0.06615,0
0.77,0.06319,0
0.76,0.06229,0
1.32,0.06991,0.126331984
0.71,0.09187,0.400465809
0.74,0.10074,0.724620752
0.73,0.11419,1.046174129
0.77,0.11939,1.33714779
0.77,0.12405,1.647299335
1.37,0.12226,1.988971714
0.82,0.11517,1.794015975
0.82,0.11266,1.779018955
0.79,0.11087,2.093476
1.14,0.11795,2.065215555
0.95,0.11258,1.831050133
1.23,0.11329,1.526884049
2.78,0.1106,1.007131298
1.02,0.10926,0.435918986
1.17,0.10424,0.172899542
2.03,0.10119,0.050762514
1.4,0.09599,0
0.83,0.08497,0
